reviewId,content,score,at,sentiment
dc49d24e-0ff4-4414-b591-4c8636866c99,lelet banget aduh saya sering ketinggalan absen karena buffering terus benerin kek,1,2025-09-03 15:21:18,negatif
68030d73-df18-438b-b7ec-cd5f01e09293,"APLIKASI BANYAK BUG DAN ERROR ❗ TOLONG OPTIMALKAN LAGI KARENA MENGGANGGU KELANCARAN KULIAH, TERIMAKASIH",2,2025-09-03 10:24:19,negatif
fe12e710-6969-4731-8f2a-9bf77b72a073,game aneh,1,2025-09-03 09:25:43,netral
3479d420-36f3-4c02-b0e2-b919812f3404,Tolong dong min anak tiri ke 3 (UB Kediri) di cantumkan di map,5,2025-08-20 09:10:27,netral
c4cb6ac7-8e28-4375-ab53-fe40e671c16a,"tidak ada kolom buat login, jadi tidak bisa login",2,2025-08-13 19:30:54,negatif
adc545e3-2379-49a4-a0a7-285926842563,"Fitur-fitur yang tersedia memang sudah bagus, tetapi saya selalu mengalami kendala saat mencoba login di IAM UB. Meskipun saya sudah memasukkan username dan password dengan benar, tetap saja saya tidak bisa login dan malah kembali ke halaman awal. Mohon kepada pihak aplikator untuk segera membenahi fitur login aplikasi ini. Terima kasih 🙏🏻",2,2025-07-10 14:34:53,negatif
9d962883-fc9b-4722-b2cc-4519aff8e41b,"Gagal login terus, udah coba hubungin help desk nya, udah di kasih solusi malah sama aja. Pasti ada bug di aplikasi nya ini yang bikin gagal login, saya udah ngikutin arahan petunjuk dari help desk nya, tapi tetep gagal login. Tolong bug aplikasinya di benahi.",1,2025-07-07 11:31:00,negatif
57284ae0-841e-4bba-86a8-3cf7acd45b8a,udah login harus login lagi. gabisa masuk karena harus login terus. tolong perbaiki.,1,2025-07-05 17:05:39,negatif
9054699f-4bcb-47e0-8e08-0e8a2ccd261c,Lemottt kali,1,2025-04-29 10:39:01,negatif
20e21d3f-0383-4e90-a548-531c98280ec5,"aplikasi yang menghalangi mahasiswa belajar, mau login eh katanya password atau username salah, padahal udah coba di siam masih bisa, di gapura aja yg bermasalah",1,2025-03-19 08:47:53,negatif
8c0ad7af-51aa-4309-b8f7-fcf4fdc418a5,"Kenapa sekarang gapura tidak ada notifikasinya, tolong kembalikan notifikasi gapura. Terimakasih",2,2025-03-11 09:50:35,negatif
27fcfc79-ab2c-41f2-a2f9-d2e1bee09f60,Tolong untuk presensi dibuatkan notif kembali agar dapat diketahui langsung dari notif bar HP sehingga tidak tercampur dengan notif lainnya.,3,2025-03-04 21:16:25,netral
be15b648-975c-4b28-9639-18fbb19cfe2d,"Gaada notif, bisa diperbaiki absen saya 5 alpha gara gara tidak ad notif padahal sudah saya aktifkan notif di pengaturan",1,2025-03-04 08:14:21,negatif
e1155bbb-6275-46b3-829a-ab217d92ed91,Tolong dibuat agar bisa mengatur dark mode atau tidak,5,2025-03-01 08:33:19,netral
09c24d58-1ccc-4800-be24-16c733fea56b,Mohon maaf sebelumnya saya mau Log In tapi tidak bisa karena ada permasalahan padahal sudah ganti password tapi tetap tidak bisa masuk. Saya gak bisa absen kalo seperti ini caranya. Tolong perbaiki segera pelayanannya ya,1,2025-02-09 16:19:11,negatif
97ace1ea-7431-4ff3-a4f6-c5002a8f4e96,"gabisa login sama sekali, udah ikutin solusi dari help desk nya tapi tetep aja...",1,2025-01-20 18:29:37,negatif
6ba80f61-25e3-46df-9166-1cfc194eb6db,aplikasi lawak,1,2025-01-03 08:04:21,netral
0bdd56f1-bd9f-4278-bc59-9b8486cb03f1,lag trs,1,2024-12-09 13:24:00,negatif
2b39970a-14d1-49b6-ad24-864d47778c58,"Setelah update tambah lemot, bahkan mau masuk laman login saja tidak bisa cuma blank putih saja. Jadi banyak absen yang alpha. Tolong segera diperbaiki ya min",1,2024-11-21 16:34:35,negatif
21056b7b-34c9-4650-ad4b-cc235bc346fa,Setelah update jadi lemot. Sekali masuk sebentar sering force close,5,2024-10-31 17:51:27,negatif
fab6a722-19b6-4d88-94fe-f55c9ae5262d,"Tolong diperbaiki lagi sistem nya, setiap ada yang mau absen ada saja kendala yang dihadapi mahasiswa seperti aplikasinya eror. Mohon ditingkatkan lagi supaya mahasiswa kedepannya dapat lebih mudah untuk menggunakannya secara efisien dan hemat waktu.",1,2024-10-29 11:30:17,negatif
c02ca224-a141-4744-938e-405ccc2fd96a,Tolong dong diperbaiki setiap mau login gapura gabisa langsung masuk terus terusan error gimana mau absennya kalau gitu taku keseringan telat absen. Minta tolong segera diperbaiki saya merasa sangat kecewa dengan pembaruan sekarang,3,2024-10-25 10:58:40,negatif
9b4227c5-cb2a-42ea-a879-e1fef0234df5,DIUPDATE TOLONG!,1,2024-10-17 12:23:49,netral
a6f9e543-9b8b-4bc8-aef3-fdbfea7a231b,Ga ada notif lagi sejak masuk semester 3. Jadi sering bgt kelewat absensi :(. Tolong dong diperbaiki. Makasih,4,2024-10-06 17:43:04,negatif
ac29f45a-654f-4007-8f4c-6ffcf348545e,"aplikasi bermasalah, tiap masuk aplikasi harus login dulu, tidak ada notifikasi presensi dan loading stuck di survey kesehatan berujung alpa beberapa kali. resikonya tidak dapat memenuhi kuota absensi minimal padahal bermasalah di aplikasi dan web",1,2024-10-01 22:07:46,negatif
02c3dd5b-57ab-4c83-a585-dc3b5cc5f182,"TOLONG DIPERBAIKI UNTUK FITUR NOTIFIKASI, BEBERAPA KALI NOTIFIKASI PRESENSI TIDAK KELUAR. TERIMA KASIH",1,2024-09-27 15:45:20,negatif
67e909b0-9a95-4aba-9d37-1efd1b30d4ca,"tolong dibener in, eror terus",1,2024-09-27 08:55:53,negatif
1db35456-8bf9-41da-8948-e896e033fb3b,Sangat membantu,5,2024-09-26 06:25:33,positif
70ae32ad-83c8-47a5-9c3f-76ba1b222365,semangat belajar wahai Brawijaya Muda!,5,2024-08-30 10:50:55,positif
859832de-4517-42dc-8a8c-5279a5a024da,"Membantu lebih mudah, hanya saja setiap masuk harus login lagi 🙂",5,2024-08-03 12:20:02,netral
7b37c746-2e5e-4295-8964-b9b0c830016f,"Kebanyakan disuruh login dan sekarang kalau ada absen tidak ada notifikasi, jadi sering alpha. Tolong untuk segera diperbaiki 🙏",1,2024-06-27 13:58:45,negatif
5efae898-eb99-42fd-a266-5824cf0b6266,"kebanyakan disuruh login, semenjak ada pembaharuan jadi ngga ada notifikasi dan bikin presensi jadi alpha karena tidak ada notifikasi pemberitahuan",1,2024-06-11 12:36:01,negatif
ce77761b-7dc5-4114-9c80-b75f03ab2601,"kenapa sekarang enggak ada notifikasi setiap absen? jadinya suka telat absen, berakhir alpha. tolong dong diperbaiki",3,2024-06-04 19:15:53,negatif
eab0e392-9ec8-4b23-bcef-0de17b565bc5,TETAP MENYALA UB-KUHH!!,5,2024-05-08 00:12:08,positif
95e38993-b499-4e7b-9ea9-b6ad7aeb4199,"Bug login, gatau lagi dah gapura ub, apalagi kudu survey",2,2024-04-16 07:52:34,negatif
82b7b0fe-e803-416d-8362-e1843f793ae4,Bug login berulang,2,2024-03-20 21:06:09,negatif
c86a4c9e-a5d6-43e7-aa7f-1dfb512ff369,Survei kesehatan tolong ditiadakan admin,3,2024-03-13 09:51:37,netral
1a577ede-2867-434b-9ac0-ccc67478e633,"Tolong di perbaiki aplikasi nya min kenapa tau"" sering lock out sendiri, stiap masuk gapura bolak balik login",1,2024-03-12 20:35:01,negatif
7395c13f-18c5-40ee-acc9-26470fcd526b,Setelah update malah sulit masuk,1,2024-03-06 17:34:00,negatif
597aa148-2030-4ba7-bd51-b117d94151ba,Sangat bagus dan lemod sekali gapuro ub buat absen,5,2024-03-06 08:04:31,positif
915320df-168a-4bc7-a43b-0dbee6f90b0e,Info-info yang membangun ke depannya lebih baik,5,2024-01-14 05:49:05,positif
d87d3d5d-6626-4aad-bc13-76ce0b7f203a,"pasword tidak singkron sama dengan pasword di siam, ribet, gk efektif",1,2023-12-19 00:23:40,negatif
c718ed22-5d48-4681-8924-72cea0b246f3,Sebaiknya Proses Login dilakukan 1 kali saja bukan setiap membuka aplikasi dan survey kesehatan sebaiknya dihilangkan,3,2023-11-17 12:35:29,negatif
8f037e17-9a4c-43af-b176-8fbee0f890d5,"Mohon dipertimbangkan. Tolonglah notifikasi nya lebih real time trus ada suaranya gitu, biar ketahuan. biar ga kelewat terus absensi. Terus kalau lewat absensi diberi fitur banding sayang banget kelewat absen mulu.",5,2023-11-16 16:37:04,negatif
403a5b6c-4dfb-4b2e-9515-a13d6a73b5e7,1. tiap masuk harus login 2. notif ga masuk 3. Survey kesehatan bikin lama 4. Bug server kadang ga bisa masuk sama sekali,1,2023-10-31 15:29:26,negatif
cd8269fc-5a81-4b06-a6a5-07f25eaf33bb,Baik,5,2023-10-15 00:51:51,positif
0979e843-b324-4b60-8fe1-a203ddca5cc6,"di update malah bug, jadi alpha deh, nah trus juga masa setiap masuk gapura harus login lagi sih aneh, buang2 waktu. di bikin sekali login aja lah biar enak, sama bug nya tuh di ilangin, tolong setiap update minimal ada bug yang berkurang lah,",1,2023-10-06 09:13:24,negatif
1347145d-616f-4f7f-816a-1ce10721a5b3,"Kalo update jangan hari kerja laaa, absen dosen cuman dibuka 3 menit doang login kaga bisa jadinya alpha. Belum gitu harus repot bgt harus berkali kali login dalam sehari.",1,2023-10-06 08:23:12,negatif
