reviewId,content,score,at,sentiment,cleaned,stemming
dc49d24e-0ff4-4414-b591-4c8636866c99,lelet banget aduh saya sering ketinggalan absen karena buffering terus benerin kek,1,2025-09-03 15:21:18,negatif,lelet banget aduh saya sering ketinggalan absen karena buffering terus benerin kek,lelet banget aduh sering tinggal absen buffering terus benerin kek
68030d73-df18-438b-b7ec-cd5f01e09293,"APLIKASI BANYAK BUG DAN ERROR ❗ TOLONG OPTIMALKAN LAGI KARENA MENGGANGGU KELANCARAN KULIAH, TERIMAKASIH",2,2025-09-03 10:24:19,negatif,aplikasi banyak bug dan error tolong optimalkan lagi karena mengganggu kelancaran kuliah terimakasih,aplikasi banyak bug error optimal karena ganggu lancar kuliah terimakasih
fe12e710-6969-4731-8f2a-9bf77b72a073,game aneh,1,2025-09-03 09:25:43,netral,game aneh,game aneh
3479d420-36f3-4c02-b0e2-b919812f3404,Tolong dong min anak tiri ke 3 (UB Kediri) di cantumkan di map,5,2025-08-20 09:10:27,netral,tolong dong min anak tiri ke ub kediri di cantumkan di map,dong min anak tiri ub diri cantum map
c4cb6ac7-8e28-4375-ab53-fe40e671c16a,"tidak ada kolom buat login, jadi tidak bisa login",2,2025-08-13 19:30:54,negatif,tidak ada kolom buat login jadi tidak bisa login,ada kolom buat login jadi bisa login
adc545e3-2379-49a4-a0a7-285926842563,"Fitur-fitur yang tersedia memang sudah bagus, tetapi saya selalu mengalami kendala saat mencoba login di IAM UB. Meskipun saya sudah memasukkan username dan password dengan benar, tetap saja saya tidak bisa login dan malah kembali ke halaman awal. Mohon kepada pihak aplikator untuk segera membenahi fitur login aplikasi ini. Terima kasih 🙏🏻",2,2025-07-10 14:34:53,negatif,fitur fitur yang tersedia memang sudah bagus tetapi saya selalu mengalami kendala saat mencoba login di iam ub meskipun saya sudah memasukkan username dan password dengan benar tetap saja saya tidak bisa login dan malah kembali ke halaman awal mohon kepada pihak aplikator untuk segera membenahi fitur login aplikasi ini terima kasih,fitur fitur sedia memang bagus selalu alami kendala coba login iam ub meski saya sudah masuk username password benar tetap saya bisa login malah ke halaman awal mohon pihak aplikator segera benah fitur login aplikasi terima kasih
9d962883-fc9b-4722-b2cc-4519aff8e41b,"Gagal login terus, udah coba hubungin help desk nya, udah di kasih solusi malah sama aja. Pasti ada bug di aplikasi nya ini yang bikin gagal login, saya udah ngikutin arahan petunjuk dari help desk nya, tapi tetep gagal login. Tolong bug aplikasinya di benahi.",1,2025-07-07 11:31:00,negatif,gagal login terus udah coba hubungin help desk nya udah di kasih solusi malah sama aja pasti ada bug di aplikasi nya ini yang bikin gagal login saya udah ngikutin arahan petunjuk dari help desk nya tapi tetep gagal login tolong bug aplikasinya di benahi,gagal login terus udah coba hubungin help desk nya udah kasih solusi malah sama aja ada bug aplikasi nya yang bikin gagal login udah ngikutin arah tunjuk help desk nya tetep gagal login bug aplikasi benah
57284ae0-841e-4bba-86a8-3cf7acd45b8a,udah login harus login lagi. gabisa masuk karena harus login terus. tolong perbaiki.,1,2025-07-05 17:05:39,negatif,udah login harus login lagi gabisa masuk karena harus login terus tolong perbaiki,udah login login gabisa masuk harus login terus baik
9054699f-4bcb-47e0-8e08-0e8a2ccd261c,Lemottt kali,1,2025-04-29 10:39:01,negatif,lemottt kali,lemottt kali
20e21d3f-0383-4e90-a548-531c98280ec5,"aplikasi yang menghalangi mahasiswa belajar, mau login eh katanya password atau username salah, padahal udah coba di siam masih bisa, di gapura aja yg bermasalah",1,2025-03-19 08:47:53,negatif,aplikasi yang menghalangi mahasiswa belajar mau login eh katanya password atau username salah padahal udah coba di siam masih bisa di gapura aja yg bermasalah,aplikasi halang mahasiswa ajar mau login eh kata password username salah padahal udah coba siam bisa gapura aja yg masalah
8c0ad7af-51aa-4309-b8f7-fcf4fdc418a5,"Kenapa sekarang gapura tidak ada notifikasinya, tolong kembalikan notifikasi gapura. Terimakasih",2,2025-03-11 09:50:35,negatif,kenapa sekarang gapura tidak ada notifikasinya tolong kembalikan notifikasi gapura terimakasih,sekarang gapura ada notifikasi kembali notifikasi gapura terimakasih
27fcfc79-ab2c-41f2-a2f9-d2e1bee09f60,Tolong untuk presensi dibuatkan notif kembali agar dapat diketahui langsung dari notif bar HP sehingga tidak tercampur dengan notif lainnya.,3,2025-03-04 21:16:25,netral,tolong untuk presensi dibuatkan notif kembali agar dapat diketahui langsung dari notif bar hp sehingga tidak tercampur dengan notif lainnya,untuk presensi buat notif agar tahu langsung notif bar hp tidak campur notif lain
be15b648-975c-4b28-9639-18fbb19cfe2d,"Gaada notif, bisa diperbaiki absen saya 5 alpha gara gara tidak ad notif padahal sudah saya aktifkan notif di pengaturan",1,2025-03-04 08:14:21,negatif,gaada notif bisa diperbaiki absen saya alpha gara gara tidak ad notif padahal sudah saya aktifkan notif di pengaturan,gaada notif baik absen alpha gara gara ad notif padahal saya aktif notif atur
e1155bbb-6275-46b3-829a-ab217d92ed91,Tolong dibuat agar bisa mengatur dark mode atau tidak,5,2025-03-01 08:33:19,netral,tolong dibuat agar bisa mengatur dark mode atau tidak,buat bisa atur dark mode tidak
09c24d58-1ccc-4800-be24-16c733fea56b,Mohon maaf sebelumnya saya mau Log In tapi tidak bisa karena ada permasalahan padahal sudah ganti password tapi tetap tidak bisa masuk. Saya gak bisa absen kalo seperti ini caranya. Tolong perbaiki segera pelayanannya ya,1,2025-02-09 16:19:11,negatif,mohon maaf sebelumnya saya mau log in tapi tidak bisa karena ada permasalahan padahal sudah ganti password tapi tetap tidak bisa masuk saya gak bisa absen kalo seperti ini caranya tolong perbaiki segera pelayanannya ya,mohon maaf belum mau log in karena masalah padahal ganti password tetap tidak masuk gak bisa absen kalo ini cara baik segera layan
97ace1ea-7431-4ff3-a4f6-c5002a8f4e96,"gabisa login sama sekali, udah ikutin solusi dari help desk nya tapi tetep aja...",1,2025-01-20 18:29:37,negatif,gabisa login sama sekali udah ikutin solusi dari help desk nya tapi tetep aja,gabisa login sama sekali udah ikutin solusi help desk nya tetep aja
6ba80f61-25e3-46df-9166-1cfc194eb6db,aplikasi lawak,1,2025-01-03 08:04:21,netral,aplikasi lawak,aplikasi lawak
0bdd56f1-bd9f-4278-bc59-9b8486cb03f1,lag trs,1,2024-12-09 13:24:00,negatif,lag trs,lag trs
2b39970a-14d1-49b6-ad24-864d47778c58,"Setelah update tambah lemot, bahkan mau masuk laman login saja tidak bisa cuma blank putih saja. Jadi banyak absen yang alpha. Tolong segera diperbaiki ya min",1,2024-11-21 16:34:35,negatif,setelah update tambah lemot bahkan mau masuk laman login saja tidak bisa cuma blank putih saja jadi banyak absen yang alpha tolong segera diperbaiki ya min,update tambah lot bahkan mau masuk laman login tidak cuma blank putih jadi banyak absen alpha segera baik min
21056b7b-34c9-4650-ad4b-cc235bc346fa,Setelah update jadi lemot. Sekali masuk sebentar sering force close,5,2024-10-31 17:51:27,negatif,setelah update jadi lemot sekali masuk sebentar sering force close,update jadi lot sekali masuk sebentar sering force close
